,0,1,2,3
10,matziptamtam,햄버거에 막 튀긴 감튀~바삭 짭짤 너무 맛있당 크크 ....  #햄버거 #수제버거 #점심 #브런치 #먹방 #먹보 #냠냠 #선팔 #맞팔 #좋반 #좋아요반사 #먹스타그램 #맛집 #맛스타그램 #푸드스타그램 #푸드 #먹스타맞팔 #먹팔 #맛스타 #먹스타 #음식스타그램 #맛집투어,"['#햄버거', '#수제버거', '#점심', '#브런치', '#먹방', '#먹보', '#냠냠', '#선팔', '#맞팔', '#좋반', '#좋아요반사', '#먹스타그램', '#맛집', '#맛스타그램', '#푸드스타그램', '#푸드', '#먹스타맞팔', '#먹팔', '#맛스타', '#먹스타', '#음식스타그램', '#맛집투어']",60
11,sienna_psy,레드로빈은 첨이네 #저녁식사 #햄버거 #피자 #dinner #burger #redrobin #pizza #donatos,"['#저녁식사', '#햄버거', '#피자', '#dinner', '#burger', '#redrobin', '#pizza', '#donatos']",6
12,gimsujeong4863,"평생 먹을 햄버거, 요즘 다 먹는듯푸짐하니 맛있긴 하다~#햄버거",['#햄버거'],0
13,jumodukeombain,서울 강북에 위치한 <버거리 미아사거리점> 바이브맛봉 설치했습니다🎉버거집도 튀김류 많이 사용 하시죠?? 바이브맛봉을 설치하시고 쾌적한 주방 환경에서 일해보세요~~!!#바이브맛봉 #바이브도시 #강북맛집 #맛집 #버거리 #햄버거 #버거 #미아사거리 #감자튀김 #튀김 #튀김기 #모두컴바인,"['#바이브맛봉', '#바이브도시', '#강북맛집', '#맛집', '#버거리', '#햄버거', '#버거', '#미아사거리', '#감자튀김', '#튀김', '#튀김기', '#모두컴바인']",2
14,lu._.wa_,부산 전포/서면 수제버거 맛집 프릭스버거 [FREAKS BURGER],[],1
15,auerewu,"매일 직접 만드는 육즙 터지는 100% 소고기 패티🍔탱글탱글 식감이 입안에서 터지는 100% 수제 새우패티🍤폭신폭신 버터향 넘치는 부드러운 브리오쉬번🍟그리고 신선한 야채 가득한 리얼수제버거🍅햄버거에 사용되는 모든 패티는 100% 수제로 만들고 있어요:)🔹야구장, 피크닉, 아이들 간식으로 꼭 주문해볼 가치가 있는 곳!!🔹잠실 데이트 맛집으로도 추천!!💫케이트버거📍올림픽로 35길 124 장미상가A동 B1 13호📍02-2202-7667📍월~토 10:30~21:00#잠실맛집 #잠실역맛집 #송파맛집 #잠실맛집추천 #잠실수제버거 #수제버거 #수제버거맛집 #수제버거전문점 #단체주문 #단체도시락주문 #버거맛집 #롯데월드맛집 #햄버거 #햄버거스타그램 (광고)","['#잠실맛집', '#잠실역맛집', '#송파맛집', '#잠실맛집추천', '#잠실수제버거', '#수제버거', '#수제버거맛집', '#수제버거전문점', '#단체주문', '#단체도시락주문', '#버거맛집', '#롯데월드맛집', '#햄버거', '#햄버거스타그램']",69
16,eunbe1012,#뱀띠 #원숭이띠 #일곱살 #열살 #육아 #일상 #딸딸이맘 #딸둘 #자매 #캠핑족 #먹방 #맛집 #당진맛집 #기지시 #기지시맛집 #셀카 #내사랑 #밤마실 #광어참치 #참치 #용용선생 #마라탕 #숙취 #좋은사람들 #행복 #좋은결과있기를 #아멘 #개고생중 #몇년만에숙취 #햄버거,"['#뱀띠', '#원숭이띠', '#일곱살', '#열살', '#육아', '#일상', '#딸딸이맘', '#딸둘', '#자매', '#캠핑족', '#먹방', '#맛집', '#당진맛집', '#기지시', '#기지시맛집', '#셀카', '#내사랑', '#밤마실', '#광어참치', '#참치', '#용용선생', '#마라탕', '#숙취', '#좋은사람들', '#행복', '#좋은결과있기를', '#아멘', '#개고생중', '#몇년만에숙취', '#햄버거']",11
17,autumn4deer4,🏠 BISTRO ROVEN..💡#新宿グルメ ☞ 新宿区西新宿1-26-2 ....ハンバーグ以外も結構メニュー種類はあったかも！自家製オイルサーディンの鉄鍋ごはん米食べたくて頼んだらなんかすっごいの出てきた🤣あとこのさつまいものポテト？美味しかった！他にも店舗あるみたいでどれもサイト見てるとお洒落っぽいから色々行ってみたいしランチだと本当に安いからロールキャベツとか色々また再チャレンジしたいなぁって🙃...#일상스타그램#photooftheday #tflers #l4l #f4f #いいね返し #フィルター越しの私の世界 #おしゃれ#멋쟁이#グルメ #ハンバーグ #hamburger #햄버거#肉#고기#meat#卵 #egg#volume #新宿 #定食 #野村ビル #お洒落 #パン #洋食 #bistro #西新宿 #西新宿グルメ #bistroroven,"['#新宿グルメ', '#일상스타그램', '#photooftheday', '#tflers', '#l4l', '#f4f', '#いいね返し', '#フィルター越しの私の世界', '#おしゃれ', '#멋쟁이', '#グルメ', '#ハンバーグ', '#hamburger', '#햄버거', '#肉', '#고기', '#meat', '#卵', '#egg', '#volume', '#新宿', '#定食', '#野村ビル', '#お洒落', '#パン', '#洋食', '#bistro', '#西新宿', '#西新宿グルメ', '#bistroroven']",25
18,junyeong.kim.184,한겨울 남한산성 나들이...최근 역사를 영화로 배우고 있는 큰 아들이 그 장소에 가고싶다는 말을 자주한다....(가본적이 있는데 기억을 잘 못한다...ㅡㅡ) 덕분에 주말 나들이 장소를 고민하게 되는 일이 줄어든....어떻게든 많은 추억을 쌓아가며 현재를 보내자....우리는 가족이니깐...다녀 오면서 미군부대 앞 햄버거 맛집 햄버거!!!#겨울나들이 #남한산성 #햄버거,"['#겨울나들이', '#남한산성', '#햄버거']",3
19,onari5,"맛난 거 사먹고 싶은 날💜#식단기록#점심식단#프랭크버거#감자튀김#파프리카#매일두유같이 점심 먹기로약속한 남편이아직도 자고 있어기다리고 기다리다햄버거 2개 시켜저 혼자 먼저 먹슴돠😤먹고 싶은게너무 많아 한참 고민했어요🤣시장표 비빔당면순대, 떡볶이, 호떡그리고 피자넘넘 땡겨요😍하지만 탄단지 균형그나마 맞는 건#햄버거 인지라햄버거 당첨👏넘넘 맛나네요🙆🏻‍♀️혈당 조절 위해파프리카 두유 먼저 먹고햄버거랑 감튀 묵었슴돠😉먹고 싶은 거적당량 먹고건강한 음식과 함께하니행복한 식단🥰.#다이어트#다이어트식단#다이어트식단기록#다이어트식단일기#다이어트식단공유#육아맘다이어트#주부다이어트#다이어트하는여자#다이어트하는엄마#다이어트하는사람#다이어트빵#다이어트햄버거#다이어트소통환영#다이어트샌드위치#다이어트꿀팁#프랭크수제버거#감튀맛집#후렌치후라이#매일두유고단백#두유추천#햄버거맛집#햄버거추천","['#식단기록', '#점심식단', '#프랭크버거', '#감자튀김', '#파프리카', '#매일두유같이', '#햄버거', '#다이어트', '#다이어트식단', '#다이어트식단기록', '#다이어트식단일기', '#다이어트식단공유', '#육아맘다이어트', '#주부다이어트', '#다이어트하는여자', '#다이어트하는엄마', '#다이어트하는사람', '#다이어트빵', '#다이어트햄버거', '#다이어트소통환영', '#다이어트샌드위치', '#다이어트꿀팁', '#프랭크수제버거', '#감튀맛집', '#후렌치후라이', '#매일두유고단백', '#두유추천', '#햄버거맛집', '#햄버거추천']",32
