,Contents,Like,ID,Tags
482,            밀크쉐이크도 먹었어야 했는데     손가락 때문에 사진이 이렇게 나왔는데나는 왠지 마음에 드네 느낌있엉                우리 양돌이는 미열에 콧물이 심해서 가정보육                이제 높이 숨겨져 있는 과자도 잘 찾아온다쪼꼬과자먹고 기분이가 엄청 좋은 양돌이  내 눈에는 너무 귀여운    아프지 좀 말자                                당근마켓 한두번정도 이용하고 음      어플 지웠다가 사고 싶은게 있어서 혹시나 싶어 검색했더니 판매하는 분이 계셔서 오늘 당근해왔다    저렴한 가격에 상태도 좋아서 혼자 엄청 뿌듯했다    이래서 당근 하는구나         헤헤 ㅋㅋㅋㅋㅋ             책 당근 거래 한건데 여자 아이 둘이 보아서 깨끗하다고하셨는데 정말 깨끗한데 딱 한권만 좀 너덜거렸다         신데렐라 ㅋㅋㅋ 너무 귀여워서 혼자 책정리하다 빵터졌다             다들 잠든 이시간 이어폰 끼고 노래 듣는데 너무 좋다    차에서 잠깐잠깐 듣는거 말고 그나마도 아이들이 원하는 노래만 듣다가 조용하게 내가 듣고 싶은 노래들만 쭉 들으니 행복하다                 ,42,jieun__may,[]
483,치킨 통다리살로 만들어진  티렉스버거     저희 상계점이 진짜 좋아하는 버거랍니다     짱맛있어요 진짜   Tip  꿀조합을 슬쩍 알려드리자면  베이컨 토핑  을 해드시면 더더욱 맛있답니당    사진 속 패티의 빨간부분은 덜 익은것이 아닌  닭고기 핑킹현상입니다   핑킹현상닭고기의 근육세포 내에 존재하는 미오글로빈이라는 단백질로 인해 닭고기의 속살이 마치 덜 익은 것처럼 붉은 빛을 띄는 현상많은 관심 부탁드려용  ,34,lotteria_sanggye,['#티렉스버거']
484,  나 어릴 적 우리 동네에는 롯데리아 뿐이 없었다  ㅎㅎ나중에 취직하고 맥도날드 버거킹 뭐 등등 다 먹어보았는데아는 맛이 무섭다고 나는 도시에 가서도 롯데리아  라이스버거 만 찾아 먹었다   내 입맛대로 내 아이들도 여기 버거만 먹을 수 밖에 없다         불매운동할때  힘들었던  기억이  시골살이  시골밥상  라이스버거돌려줘  남매맘  남매룩  남매샷  롯데리아  햄버거  리미떼두두  리미떼두두패딩  육아일상  육아일기  일상공유  일상소통,30,smjajujh,"['#롯데리아', '#라이스버거', '#불매운동할때', '#힘들었던', '#기억이', '#시골살이', '#시골밥상', '#라이스버거돌려줘', '#남매맘', '#남매룩', '#남매샷', '#롯데리아', '#햄버거', '#리미떼두두', '#리미떼두두패딩', '#육아일상', '#육아일기', '#일상공유', '#일상소통']"
485, 먹스타그램  음식스타그램  맛스타그램  버거스타그램  푸드스타그램  먹방스타그램  먹부림  음식  햄버거  햄버거귀신  왓더버거메뉴추천  왓더버거 셧더버거  행복한셧더버거세트  수제버거  신메뉴원정대  내돈내산  수제버거맛집  왓더버거창원상남점  왓더버거창원  포식  잘먹었다  일상  소통  좋아요  인친,17,holmes_foods,"['#먹스타그램', '#음식스타그램', '#맛스타그램', '#버거스타그램', '#푸드스타그램', '#먹방스타그램', '#먹부림', '#음식', '#햄버거', '#햄버거귀신', '#왓더버거메뉴추천', '#왓더버거', '#행복한셧더버거세트', '#수제버거', '#신메뉴원정대', '#내돈내산', '#수제버거맛집', '#왓더버거창원상남점', '#왓더버거창원', '#포식', '#잘먹었다', '#일상', '#소통', '#좋아요', '#인친']"
486,힘든 하루였지만 먹은 건 다 맛있었다     슈퍼말차  더티콘  더티콘아이스크림  말차라떼  번패티번  번패티번버거  햄버거  감자튀김  더현대서울  더현대서울맛집,37,m2ye0n,"['#슈퍼말차', '#더티콘', '#더티콘아이스크림', '#말차라떼', '#번패티번', '#번패티번버거', '#햄버거', '#감자튀김', '#더현대서울', '#더현대서울맛집']"
487, 안양 우리집 점심 lunch kfc 스콜처버거 감튀 치킨텐더 먹스타그램 맛스타그램 일상 햄버거 20230112점심으로 KFC 스콜처버거와그 외 녀석들,34,ym_company,"['#안양', '#우리집', '#점심', '#lunch', '#kfc', '#스콜처버거', '#감튀', '#치킨텐더', '#먹스타그램', '#맛스타그램', '#일상', '#햄버거', '#20230112점심으로']"
488, D 72  오늘 N줄일기1  경찰의 날이 1월 12일 이었으면 좋겠다 예쁘자나 01 12  112 2  간만에 다른 중국집 도전해봤는데 맛은 평타 이상 양은 ㅅㅌㅊ3  여성전용 PT샵이 만약 원판 키티로 만들면 다닌다vs안다닌다4  오늘은 해커스 안가고 미래인재가서 공부해봤는데 건물 개작다 5  금토일 비소식 있길래 토욜날 갈 거 오늘로 땡겨서 체력다녀옴6  햄버거 2개 안산거 진짜 개후회  배고파서 뭐 자꾸 입에 넣는 중,100,pol_junee,[]
489, 미국식 햄버거 신당점 냠냠    micooksik burgur   ,92,ssoon_j,"['#미국식', '#햄버거', '#신당점', '#냠냠', '#??', '#micooksik', '#burgur', '#??']"
490, 교육박람회 갔다가교보문고 갔다가저녁 먹으러 서둘러 찾아간성북동 브런치카페  하늘  마감 시간에 빠듯하게 찾아가서못 먹을지도 모르겠다 생각했으나사장님께서 온화한 미소를 지으며흔쾌히 가능하다고 하셔서 얼마나기뻤던지 ㅋ햄버거 두개에 딸기와플 하나 주문 햄버거는 내가 지금까지 먹었던수제햄버거중에서 제일 맛있게 먹은 듯 카페도 이쁘고 음악도 분위기 있고 단골 삼고 싶은 가게 하나 발견한 듯하여기분 좋았던 저녁 타임이었음    일상 저녁한끼 성북동브런치카페 카페하늘 햄버거 강추 딸기와플,12,happy_sloth_kyoung,"['#일상', '#저녁한끼', '#성북동브런치카페', '#카페하늘', '#햄버거', '#강추', '#딸기와플']"
491,    프랭크버거  베이컨해쉬 R    6900원   재구매의사        프랭크버거 신제품 3종    중 하나인 베이컨해쉬  먹고왔습니다 이름에서부터 이미 맛있어서 너무 설렜는데요    역시 프랭크 패티 자체가 맛았기때문에 존맛이네요  눅눅하지않은 해쉬브라운과 갓 구운 베이컨  그리고 패티에 치즈까지   사실 맛없을수 없는 조합이죠     저에겐 머쉬룸버거가 1위였는데 뺏겼습니다   앞으론 베이컨 해쉬만 먹을거같아요  매일 메뉴판앞에서 튀김을 먹을까 고기를 먹을까 고민했는데 싹 해결한 메뉴      매장도 깔끔하고 셀프바도 너무 청결해서 덩달아 기분좋은 프랭크버거 역시 믿고먹습니다  오래오래해주세요  ,21,mat_jangjang,[]
