,UserId,Contents,Tags,like_scale
48,jjeju_luv,  햄덕이가추천하는 맥도날드 햄버거메뉴 추천   빅맥빅맥버거세트베이컨토마토디럭스맥치킨모짜렐라슈슈버거1955버거더블불고기버거 오늘의야식  햄버거  푸드스타그램  야식  오늘의점심 hamburg  hamburger  hamburguer,"#맥도날드, #빅맥빅맥버거세트베이컨토마토디럭스맥치킨모짜렐라슈슈버거1955버거더블불고기버거, #오늘의야식, #햄버거, #푸드스타그램, #야식, #오늘의점심, #hamburg, #hamburger, #hamburguer",0.08438731080240515
49,misu7171,息子君とランチ   北千住ランチ  息子君とデート サニーダイナー  グルメバーガー  ハンバーガーランチ  チーズバーガー コカコーラ  ポテト 먹스타그램  아들과데이트  햄버거  lunch  hamburger   sunnydiner,"#北千住ランチ, #息子君とデート, #サニーダイナー, #グルメバーガー, #ハンバーガーランチ, #チーズバーガー, #コカコーラ, #ポテト, #먹스타그램, #아들과데이트, #햄버거, #lunch, #hamburger🍔, #sunnydiner",0.026539498237611446
50,_im._.good_____, 햄버거 맛집 쉐이크쉑 버거 수유역 근처에 생긴 매장이 아주 넓고 깔끔한쉐이크쉑버거 입니다    쉑버거  쉑스택기본인 쉑버거는 수제버거 맛이 나더라구요 빵이 엄청 부드럽고 크기도 좋았어요 패티가 두툼하며 불맛도 나고 안에 들어있는야채들이 정말정말 신선했어요   아삭아삭육향이 가득한 패티와 치즈 양상추 토마토만으로 충분히 맛있었어요  쉑스택은 특이하게도 튀긴 버섯이 들어가요한입에 베어물기 조금 힘든 쉑스택       소스는 과하지않고 버섯과 치즈의 감칠맛이극대화된 상태로 패티 육즙을 타고 흘러요 아무래도 기본인 쉑버거 보다는 향 자체가 조금 더 진하게 느껴져요  포장이라 밀크쉐이크 녹아서 맛없을까바 못샀   느끼하고 짜다고 많이 들었는데생각보다 괜찮게 먹었어요     감사히 잘 먹었습니다  위치   서울 강북구 도봉로 315  수유동  에피소드 수유 838  1층 쉐이크쉑 수유점     햄버거 hamburg  burger  쉐이크쉑  shakeshack  brunch  beef  mushrooms  cheese  fresh  food  데이트  서울맛집  강북맛집  맞팔  フォローバック  相互フォロー  먹팔  맛집  수유  수유맛집  미아사거리맛집  길음맛집  쌍문맛집  번동맛집  우이동맛집  햄버거맛집  치즈  고기  맛있다,"#햄버거, #hamburg, #burger, #쉐이크쉑, #shakeshack, #brunch, #beef, #mushrooms, #cheese, #fresh, #food, #데이트, #서울맛집, #강북맛집, #맞팔, #フォローバック, #相互フォロー, #먹팔, #맛집, #수유, #수유맛집, #미아사거리맛집, #길음맛집, #쌍문맛집, #번동맛집, #우이동맛집, #햄버거맛집, #치즈, #고기, #맛있다",0.04499274310595065
51,sul._.gwang, 콘스델리  춘천시청점 해장에 치즈버거 좋아하는 사람  적당한 숙취엔 햄버거 해장이 생각보다 괜찮답니다   춘천 시청 쪽에서 하루 자고 가게 되었는데 외관이 갬성갬성해서 우연히 방문한 버거집       춘천에서는 맛집으로 유명한 수제버거집 인가봐요 11시에 갔는데도 사람이 꽤 있었고  배민 주문이 계속 들어오더라구요 그래서 그런지 음식은 살짝 늦게 나오지만 깔끔하고 미쿡스런 인테리어와 오픈주방 덕에 깨끗함이 보여 믿고 먹을 수 있는 버거집        치즈버거 고급진 맥도날드 치즈버거 ver 치즈버거에 케찹소스와 피클 들어가있는거 좋아하시는 분들은 누구나 정말 맛있게 먹을 수 있는 버거 ツ 오리지널파스트라미뉴욕식 파스트라미 샌드위치는 처음 먹어보는데  소고기 양지를 숙성 및 훈연해 만든 고기를 파스트라미라고 한데요 옐로우 머스타드 소스와 잘 어울려 든든하게 먹었고 특히 같이 나오는 수제 피클 쫀맛탱 ツ  근데 파스트라미가 살짝 많이 익혀진 것 같아 아숩   치즈버거 싱글    단품 6 900원  세트 9 900원  오리지널 파스트라미    단품 12 000원  세트 14 900원 주소   강원 춘천시 옥천길 3 콘스델리 춘천시청점  강원도  춘천  콘스델리,"#춘천시청점, #치즈버거, #오리지널파스트라미뉴욕식, #강원도, #춘천, #콘스델리",0.060543230354551114
52,k.junhyuk_94,  친하신 분께서  기프트콘 을 주셔서KFC에서 저녁식사를 해봤습니다     식사장소     kfc  안양일번가점  가격    기프트콘  타워버거 단품 6 100원             스프라이트  L  2 200원             갈릭스노잉블랙라벨치킨 1조각 3 500원   피드에 보이시는   햄버거 는몇주 전에 회사에서 퇴근을 하고나서개인용무로 인해서   안양역 에 왔을 무렵저녁식사로 먹었던 것입니다  피드 속의 상황을 설명드려보자면좀 더 예전에 친하신 형님께서 이벤트로 기프트콘 을 준다는 정보를 제게 알려주셨고 이벤트 제품들 중에서 원하는거 하나를빠르게 골라야 한다고 말씀하시기에   타워버거  단품 무료쿠폰을 받은 적이 있었어요  그렇게 오래간만에   안양일반가 에 있는  케이에프씨 에 다시 찾아가게 되면서알찬 식사 시간을 보내고도 왔는데 단품 햄버거만으로는 양이 부족할까봐 탄산음료 L 과 당시 감자튀김 대신신메뉴였던   갈릭스노잉블랙라벨치킨 을추가로 주문해서 나름 세트메뉴 느낌을 내봤습니다     다음으로 식사 당시주관적인 입맛으로 느낀 후기를 써볼까하는데 먼저 무료로 먹었던  타워버거 의 경우 맛은옛날 그대로 유지하면서도버거 양이 전체적으로 늘은 듯 했습니다  특히  닭가슴살 패티 가 옛날 대비 많이 커졌는데바삭한 튀김 옷맛을 선보여주더라고요  두번째로 버거 속에 들어간살짝 매콤한 소스의 맛과 담백한 맛이 함께 어울어져서식욕을 자극해주면서 부드러운 식감의  해쉬브라운 을 함께 먹으니든든한 한끼를 보장해주는 기분이 들었습니다    감자튀김 대신 먹었던  갈릭스노잉블랙라벨치킨 의 경우표면에 뿌려진 가루에 의해 BHC 뿌링클  치킨이 연상될 만한단짠 맛을 진하게 느꼈습니다  그리고 마늘 맛이 깊고 강하게 나타기도 하는데끝맛에서 조금 매운 맛이 오래남아서 여운을 느꼈으나 너무 자극적인 치킨 맛이기에 쉽게 물리게 되서많이 먹기도 어렵겠다고 생각 들었어요  그렇다보니 어느정도 맛이 보장되는  블랙라벨치킨 일지라도자주 사먹고 싶은 마음이 안들었기에만족스럽지 못한 신메뉴였습니다       먹스타  피드를 마무리지기 앞서서친하신 분 덕분에 몇년 만에 타워버거 를 먹게 되니 좋은 시간을 보냈었는데 과거에 먹었던 그 맛을 거의 유지한채로업그레이드 됀 맛이라고가격대의 버거에 걸맞는 퀄리티를 접하고 왔었군요  다만  갈릭스노잉 블랙라벨치킨 의 경우저만 그렇게 느낀지는 모르겠지만 너무 자극적인 맛이라 한번 쯤은 먹어도두번 이상 먹고 싶은 메뉴는아닌 것 같다고 생각도 들었습니다  그래도  KFC 가 예전과 비교해서퀄리티가 상향평준화 됐다는 느낌을 타워버거 를 통해서 다시 느꼈기에 언제가 될지는 몰라도 나중에 KFC 에서 식사 할 날이 찾아올 것이라 봐요       먹스타맞팔  먹스타그램맞팔  먹스타그램 먹부림 솔직후기  치킨버거 좋아요반사  좋반  선팔하면맞팔  맞팔,"#kfc’, ""#햄버거는몇주"", ""#안양역에"", ""#타워버거"", ""#안양일반가에"", ""#케이에프씨에"", ""#갈릭스노잉블랙라벨치킨을추가로"", ""#블랙라벨치킨일지라도자주"", ""#먹스타"", #먹스타맞팔, #먹스타그램맞팔, #먹스타그램, #먹부림, #솔직후기, #치킨버거, #좋아요반사, #좋반, #선팔하면맞팔, #맞팔",0.027990877047480822
53,livingjoa, 공구오픈 직접 만드는 DIY  수제 하트버거 밀키트  한입 베어무는순간   기절   좋은 재료로 속도 편해요  재미와 맛까지 다 챙겼다   육즙팡팡  이거 진짜 맛있어요   100  순쇠고기패티     수제 브리오슈번  이거진짜 빵이랑 고기가 대박 맛나요  수제 하트버거 밀키트 가져왔어요 빵이랑 패티만 조리하심 되구 나머지는 착착 올리기만 하면 끝   간단하니까 아이와 함께하기 좋아요 ㅎㅎ모양도 넘 이쁘죠  직접 해서 먹어봤는데  진짜 유명 수제버거집에서 먹는 맛이에요   소스도 진짜 진짜 맛있구   맛도 맥 날  저리가라예요 전부 개별포장으로 위생적이며넉넉하게 재료를 넣어 만들 수 있어요 버터도 드리는데 버터계의 명품 이즈니버터 넣어드려요 풍미가 아주 그냥 ㅎㅎ수제패티는 잡내 안나고 매달  성분안전검사를 진행하여누구나 안심하고 드실 수 있습니다 재료가 좋아야 속이 편합니다 재료가 좋아 콜라 없이도 드실 수 있으며아이들도 좋아할 만큼 자극적이지 않아요  사실 어른들이 더 좋아합니다  ㅎ 어떠신가요 댓글로  알림신청 하고 드셔보세요       지금바로 재료들 데려가세요          리빙조아  공구  햄버거  수제버거,"#공구오픈, #알림신청, #리빙조아, #공구, #햄버거, #수제버거",0.04146796599626788
54,nobrandburger.official,   짜잔   계묘년 이 시작된 기념으로 토끼 버거를 만들어 봤답니다   코을슬로치킨버거 의 바삭하고 커다란 치킨 패티가토끼 귀로 찰떡인 거 같죠  보기 좋은 버거가 맛도 좋은 법 나별빛이 얼마나 맛있는지 한번 먹어보겠습니다   귀여운 토끼가 없어지는 건 차마 볼 수 없으니한입에 와앙 하고 다 먹어버려야겠어요  노브랜드버거  NBB  NoBrandBurger 캐릭터  햄버거  캐릭터도시락  토끼해 2023년  새해  새해복  일상  일상스타그램,"#계묘년, #토끼, #코을슬로치킨버거, #노브랜드버거, #NBB, #NoBrandBurger, #캐릭터, #햄버거, #캐릭터도시락, #토끼해, #2023년, #새해, #새해복, #일상, #일상스타그램",0.12481857764876633
55,bro_burger_,월요일엔 바삭  하게  순살치킨  근접샷으로 보는 겉바속촉 순살치킨라인업  보기만해도 윤기 싹  돌면서 군침이 싹 특제 소스가 올라가 바삭  한 치킨과함께 조화롭게 딱  요기에 시 원한 맥주와 함께라면더할나위없이 좋더라죠   브로버거  수제버거  수제버거맛집  햄버거  햄버거맛집  햄버거스타그램  버거스타그램  버거  버거맛집  방이동맛집  방이역맛집  방이동먹자골목맛집  방이동맛집추천  올림픽공원맛집  광명맛집  광명역맛집  광명맛집추천,"#순살치킨, #브로버거, #수제버거, #수제버거맛집, #햄버거, #햄버거맛집, #햄버거스타그램, #버거스타그램, #버거, #버거맛집, #방이동맛집, #방이역맛집, #방이동먹자골목맛집, #방이동맛집추천, #올림픽공원맛집, #광명맛집, #광명역맛집, #광명맛집추천",0.027576197387518143
56,miso.chief,1  햄버거 시도2  미소의 헤드락 참교육참지않긔        ,,0.03172299398714493
57,limhj9781, 제품제공인스타  한우자조금관리위원회 에서 작년에보내주신 깁티로  롯데리아한우불고기콤보 햄버거와콜라  점심  맛있게 먹었습니다 이게 거이 만원이라늬  두배 맛있게 감사하는 마음으로 냠냠         한우패티 은근 매콤한 소스였어서깊은맛이 느껴지는  햄버거      너무 커서 짜를수가 없을만큼  야채그득  맛스타그램  버거러버  좋아요   미세먼지조심  헬요일화이팅  안과내원  ,"#제품제공인스타, #한우자조금관리위원회, #롯데리아한우불고기콤보, #햄버거와콜라, #점심, #맛있게, #한우패티, #햄버거, #\U0001faf6🏻너무, #야채그득, #맛스타그램, #버거러버, #좋아요💕, #미세먼지조심, #헬요일화이팅, #안과내원",0.041882645656230566
