,like_scaled,tag_top_sum
0,0.0683391003460207,
1,0.2624567474048442,8.0
2,0.7378892733564013,11.0
3,0.114878892733564,1.0
4,0.2228373702422145,9.0
5,0.0875432525951557,8.0
6,0.0993079584775086,10.0
7,0.0185121107266435,11.0
8,0.0583044982698961,6.0
9,0.0216262975778546,28.0
10,0.0302768166089965,11.0
11,0.0186851211072664,0.0
12,0.0690311418685121,0.0
13,0.0773356401384083,1.0
14,0.0162629757785467,
15,0.0356401384083044,4.0
16,0.0176470588235294,
17,0.0185121107266435,9.0
18,0.0638408304498269,9.0
19,0.0224913494809688,28.0
20,0.0309688581314878,2.0
21,0.0480968858131487,26.0
22,0.016955017301038,2.0
23,0.0643598615916955,6.0
24,0.0482698961937716,14.0
25,0.0923875432525951,17.0
26,0.0226643598615916,28.0
27,0.043598615916955,1.0
28,0.02439446366782,11.0
29,0.0354671280276816,1.0
30,0.0216262975778546,8.0
31,0.0181660899653979,6.0
32,0.029757785467128,13.0
33,0.0202422145328719,14.0
34,0.0588235294117647,2.0
35,0.028719723183391,3.0
36,0.251038062283737,23.0
37,0.281833910034602,2.0
38,0.3252595155709342,1.0
39,0.0695501730103806,
40,0.0217993079584775,28.0
41,0.0235294117647058,4.0
42,0.0192041522491349,1.0
43,0.0283737024221453,22.0
44,0.038235294117647,5.0
45,0.0242214532871972,2.0
46,0.0522491349480968,19.0
47,0.0198961937716262,3.0
48,0.0216262975778546,13.0
49,0.0465397923875432,7.0
50,0.022318339100346,28.0
51,0.0195501730103806,
52,0.0449826989619377,7.0
53,0.0173010380622837,
54,0.0596885813148788,1.0
55,0.0316608996539792,5.0
56,0.0999999999999999,1.0
57,0.0340830449826989,1.0
58,0.0295847750865051,
59,0.0197231833910034,4.0
60,0.017993079584775,10.0
61,0.0176470588235294,3.0
62,0.2250865051903114,1.0
63,0.0347750865051903,19.0
64,0.0332179930795847,5.0
65,0.0780276816608996,20.0
66,0.0249134948096885,3.0
67,0.0219723183391003,29.0
68,0.0313148788927335,14.0
69,0.0295847750865051,5.0
70,0.0262975778546712,10.0
71,0.0259515570934256,7.0
72,0.023356401384083,31.0
73,0.0164359861591695,
74,0.0178200692041522,
75,0.0683391003460207,8.0
76,0.0416955017301038,7.0
77,0.0205882352941176,1.0
78,0.1498269896193771,19.0
79,0.0204152249134948,2.0
80,0.2915224913494809,2.0
81,0.0162629757785467,2.0
82,0.0660899653979238,
83,0.065916955017301,9.0
84,0.0185121107266435,1.0
85,0.0193771626297577,11.0
86,0.0628027681660899,1.0
87,0.0183391003460207,3.0
88,0.0256055363321799,1.0
89,0.0292387543252595,11.0
90,0.0460207612456747,9.0
91,0.0598615916955017,0.0
92,0.0449826989619377,1.0
93,0.0228373702422145,28.0
94,0.0242214532871972,2.0
95,0.02439446366782,3.0
96,0.0271626297577854,25.0
97,0.0181660899653979,3.0
98,0.0738754325259515,1.0
99,0.0160899653979238,1.0
100,0.0373702422145328,16.0
101,0.0166089965397923,3.0
102,0.0527681660899653,6.0
103,0.0197231833910034,11.0
104,0.016955017301038,8.0
105,0.0249134948096885,9.0
106,0.0455017301038062,1.0
107,0.0477508650519031,18.0
108,0.0217993079584775,28.0
109,0.0204152249134948,22.0
110,0.0209342560553633,20.0
111,0.0160899653979238,7.0
112,0.0275086505190311,22.0
113,0.0441176470588235,10.0
114,0.955190311418685,
115,0.4126297577854671,0.0
116,0.0858131487889273,2.0
117,0.016955017301038,3.0
118,0.1043252595155709,11.0
119,0.0160899653979238,0.0
120,0.0370242214532871,15.0
121,0.0240484429065743,1.0
122,0.0294117647058823,1.0
123,0.0548442906574394,1.0
124,0.0174740484429065,8.0
125,0.0237024221453287,7.0
126,0.0292387543252595,
127,0.0631487889273356,1.0
128,0.0385813148788927,
129,0.0295847750865051,2.0
130,0.0242214532871972,12.0
131,0.0230103806228373,15.0
132,0.0167820069204152,15.0
133,0.0290657439446366,6.0
134,0.0192041522491349,1.0
135,0.0186851211072664,
136,0.0276816608996539,6.0
137,0.0176470588235294,4.0
138,0.0190311418685121,8.0
139,0.029757785467128,
140,0.0589965397923875,17.0
141,0.0250865051903114,5.0
142,0.0269896193771626,1.0
143,0.0332179930795847,11.0
144,0.0570934256055363,1.0
145,0.0406574394463667,27.0
146,0.5216262975778546,
147,0.0271626297577854,0.0
148,0.0368512110726643,1.0
149,0.0217993079584775,1.0
150,0.2633217993079584,4.0
151,0.0195501730103806,
152,0.0166089965397923,6.0
153,0.0240484429065743,28.0
154,0.0181660899653979,30.0
155,0.0823529411764705,1.0
156,0.0314878892733564,0.0
157,0.0188581314878892,1.0
158,0.0228373702422145,1.0
159,0.0385813148788927,22.0
160,0.023356401384083,3.0
161,0.0711072664359861,7.0
162,0.0278546712802768,3.0
163,0.046712802768166,12.0
164,0.0858131487889273,1.0
165,0.0268166089965397,9.0
166,0.3551903114186851,5.0
167,0.023356401384083,28.0
168,0.0283737024221453,
169,0.038235294117647,7.0
170,0.0212802768166089,1.0
171,1.0,1.0
172,0.0851211072664359,2.0
173,0.0185121107266435,12.0
174,0.1115916955017301,8.0
175,0.1275086505190311,15.0
