Category,ID,Contents,Tags,Tags_sum,Tags_count,Tags_rate,Likes,Scaled_likes
햄버거,dae_1_2,신당동 떡볶이말고  미국식 micooksik저 스테이크버거  단일메뉴이것저것 넣어서 먹으묜맛있다   신당 신당동맛집 햄버거,"#미국식, #micooksik저, #신당, #신당동맛집, #햄버거",5,2,40.0,22,0.0028597426231639
햄버거,what__like_,다 좋아하는 것들이네 햄버거 타코 샐러드 스테이크 피자가빠짐 미국음식 다좋아,"#햄버거, #타코, #샐러드, #스테이크, #피자가빠짐, #미국음식, #다좋아",7,2,28.57,1,0.0001299883010529
햄버거,nikukingburger_seoul,요즘 커지고 있는 덜익힌 분쇄육 음식에 대해 이야기 해보려고 합니다 니꾸킹버거는 고든램지의 미디움 패티가 들어오기 전 부터 미디움 패티를 취급한 매장입니다 대형 업체의 등장으로 덜익힌 패티의 인식이 바뀌는걸 직접 체감했습니다 하지만 곧 사고가 터질것 같은 불안감이 엄습합니다  많은 수제버거 매장들이 패티를 덜 익히기 시작하고 있거든요 덜익힌 패티의 위생 기준이 널리 퍼지지 않은 상황에서 단지 맛만 보고 조리를 하시는 분들이 있을까하여 매우 두렵습니다 바쁘신 분들은 아래로    햄버거병과 관련된 얘기 입니다 햄버거병은 용혈성 요독 증후군이 정식 명칭입니다  햄버거 병이라는 명칭은 1993년 미국에서 오염된 소고기로 만든 패티를 먹고 어린아이들이 단체로 식중독에 걸렸던 사건으로 인해 유명해졌습니다  그렇다면 왜 분쇄육은 덜익히면 위험한가  이론적으로 유통되는 소고기는 무균상태라고 합니다  칼  기계등과 접촉하면서 균이 옮아가는것입니다 고기 표면에 붙은 균이 내부로 침투하기 까지는 상당한 시간이 걸립니다  따라서 표면에 강한 열을 가하는 요리는 덜익혀 먹더라도 비교적 안전 한 것입니다 하지만 분쇄육은 다릅니다 분쇄를 하며 표면에 있던 균들이 내부로 섞이게 되고 표면적이 넓기 때문에 매우 빠른 속도로 균이 증식합니다 균들마다 데미지를 받고 죽는 온도가 다 다르기 때문에 다음 사진을 보면 식중독을 유발하는 균들을 죽이기 위해 권고하는 온도와 시간이 나옵니다 최소 58도에서 1시간이상 또는 73도에서 10초 이상 가열을 권고 하고 있습니다  사람이 45도의 환경에서 살수 없지만 45도에 노출된다고 바로 죽지는 않는것과 비슷함 물론 대부분의 음식은 균이 있고 그 균은 인간의 소화기관에 의해 죽습니다 하지만 어린아이나 소화기관이 약해진 사람일 경우 큰문제가 생길 수 있습니다 타 업체를 공격하고자 하는게 아닌 이 맛있는 미디움 패티 시장의 안정성을 위해 정확한 기준이 잡혀야 된다는 생각에 작성해 봤습니다 저희 니꾸킹버거의 위생기준은1  58도에서 2시간 1인치 두께의 소고기 심부까지 도달하는데 1시간 58도로 조리 되는 시간 1시간  2  1차 수비드 후 칠링하여 냉장보관3  음식 제공전에 58도에서 최소 30분 이상  조리4  175도 기름에서 10초 조리 후에 제공합니다 안전하고 맛있는 패티를 모두가 즐길수 있었으면 좋겠습니다 수제버거 사장님들 파이팅 ,,0,0,0.0,26,0.0033796958273755
햄버거,beogeossi,     강아지  멍멍이  월월  보스턴테리어  버거  귀요미  깜찍  강아지스타그램  바보  제일귀여워  계정  찾았다  큐티  cute  햄버거  밥버거  뒤통수  스마일  행복,"#강아지, #멍멍이, #월월, #보스턴테리어, #버거, #귀요미, #깜찍, #강아지스타그램, #바보, #제일귀여워, #계정, #찾았다, #큐티, #cute, #햄버거, #밥버거, #뒤통수, #스마일, #행복",19,4,21.05,9,0.0011698947094761
햄버거,habibi__93,어제는 백만년만에 만나 소현이랑 미국식 햄버거 먹으러 갔는데 일반 햄버거는 시간이 지나면 눅눅해지는 경우가 많은데 마침 오빠주려고 포장하고 집오니 눅눅하기보다는 겉은 바삭 속이 촉촉했다 조만간 또 먹으로 갈거다   둥근 Z플립같이생겼넹  힙스터들만 마신다는 맥주  소현이 만나기 전에 먹은 퀸즈도넛    시나몬 슈가  피넛버터 랑 따뜻한 카푸치노   보들보들한 도넛이라 너무 좋아,,0,0,0.0,25,0.0032497075263226
햄버거,ssojatoast_official,쏘자토스트 충주 용산점  오픈    항상 점주님들의 지향하는 방향성을 반영 할 수 있도록 배우고 노력하는 쏘자토스트가 되겠습니다 감사합니다  We have opened our new store in Chungju si,,0,0,0.0,26,0.0033796958273755
햄버거,the9_gwangju4,매일 직접 만드는 육즙 터지는 100  소고기 패티  탱글탱글 식감이 입안에서 터지는 100  수제 새우패티  폭신폭신 버터향 넘치는 부드러운 브리오쉬번  그리고 신선한 야채 가득한 리얼수제버거  햄버거에 사용되는 모든 패티는 100  수제로 만들고 있어요    야구장  피크닉  아이들 간식으로 꼭 주문해볼 가치가 있는 곳    잠실 데이트 맛집으로도 추천    케이트버거  올림픽로 35길 124 장미상가A동 B1 13호  02 2202 7667  월 토 10 30 21 00 잠실맛집  잠실역맛집  송파맛집  잠실맛집추천  잠실수제버거  수제버거  수제버거맛집  수제버거전문점  단체주문  단체도시락주문  버거맛집  롯데월드맛집  햄버거  햄버거스타그램  광고 ,"#잠실맛집, #잠실역맛집, #송파맛집, #잠실맛집추천, #잠실수제버거, #수제버거, #수제버거맛집, #수제버거전문점, #단체주문, #단체도시락주문, #버거맛집, #롯데월드맛집, #햄버거, #햄버거스타그램",14,14,100.0,26,0.0033796958273755
햄버거,whdk8675, 원주단구점  프랭크버거    베이컨치즈버거  햄버거  육즙을품다  프렌치프라이   가 양이 많네ㅎ,"#원주단구점, #프랭크버거??, #베이컨치즈버거, #햄버거, #육즙을품다, #프렌치프라이??",6,4,66.67,10,0.001299883010529
햄버거,smile___jia,햄붜거   햄버거,#햄버거,1,2,200.0,1,0.0001299883010529
햄버거,dali_gamsung, 달리네외식  롯데리아아침 부실하게 먹은 우리 김대표님을 대신해서성산까지 가서 포장해온 햄버거세트 ㅋㅋㅋㅋ대표님은 빅불세트  나는 핫크리스피버거   빅불세트는 고기가 정말 푸짐하게 많이 들어있었음   토마토가 있었으면 더 맛있었을 것 같음 핫크리스피버거는 점점 매워지는 느낌 ㅋㅋㅋㅋ그래도 그냥 치킨버거는 느끼하고     롯데리아 성산점도 키오스크로 주문  결제하는데다운받은 할인쿠폰 쓸 줄 몰라서 그냥 제가격 주고사왔다고 합니다   기계치같으니  ㅁ 뒤에서 자꾸 내 화면 쳐다보는 사람만 없었어도  다음번엔 천천히 다시 시도해봐야겠다  ㅋㅋㅋㅋㅋ 일상  제주일상  햄버거  햄버거세트  빅불버거  빅불세트  치킨버거  핫크리스피버거  점심  점심메뉴  직장인점심  포장  테이크아웃  먹스타그램  먹팔하면맞팔  키오스크  낯설어  기계치  내일자유부인이다  아싸  hamburger,"#달리네외식, #롯데리아아침, #일상, #제주일상, #햄버거, #햄버거세트, #빅불버거, #빅불세트, #치킨버거, #핫크리스피버거, #점심, #점심메뉴, #직장인점심, #포장, #테이크아웃, #먹스타그램, #먹팔하면맞팔, #키오스크, #낯설어, #기계치, #내일자유부인이다, #아싸, #hamburger",23,8,34.78,25,0.0032497075263226
