Category,ID,Contents,Tags,Tags_sum,Tags_count,Tags_rate,Likes,Scaled_likes
파스타,60sfoodamazing,                                                                                                                                                                                                                                                                                                                                               mukbangasmr  mukbangers  asmr  asmrfood  eatingasmr  asmrvideo  mukbang  foodshow  mukbangasmr  mukbangvideo  ㅁㅓㄱㅂㅏㅇ  asmrcommunity  eatingshow  eatingsounds  eatingasmr  koreanfood  asianfood  chinesefood  asmrsounds  ㄸㅓㄱㅂㅗㄲㅇㅣ  asmreating  asmrfood  eatingsounds  koreanstreetfood  ramen  spicynoodles  koreannoodles  koreafood  ㅍㅏㅅㅡㅌㅏ  ㄹㅏㅁㅕㄴ  satisfying  oddlysatisfying  yummyfood  foodcravings,"#mukbangasmr, #mukbangers, #asmr, #asmrfood, #eatingasmr, #asmrvideo, #mukbang, #foodshow, #mukbangasmr, #mukbangvideo, #ㅁㅓㄱㅂㅏㅇ, #asmrcommunity, #eatingshow, #eatingsounds, #eatingasmr, #koreanfood, #asianfood, #chinesefood, #asmrsounds, #ㄸㅓㄱㅂㅗㄲㅇㅣ, #asmreating, #asmrfood, #eatingsounds, #koreanstreetfood, #ramen, #spicynoodles, #koreannoodles, #koreafood, #ㅍㅏㅅㅡㅌㅏ, #ㄹㅏㅁㅕㄴ, #satisfying, #oddlysatisfying, #yummyfood, #foodcravings",34,0,0.0,6,0.0050420168067226
파스타,kimhyunjung664,점심 식사  직접 조리해 주셨어용  원장님 잘 먹겠습니다     모모아트카페  최강 뇨끼 파스타 맛집 이색카페 도자기체험카페 정원카페,"#모모아트카페, #최강, #파스타, #이색카페, #도자기체험카페, #정원카페",6,1,16.67,4,0.0033613445378151
파스타,60sprettyfood,                                                                                                                                                                                                                                                                                                                                               mukbangasmr  mukbangers  asmr  asmrfood  eatingasmr  asmrvideo  mukbang  foodshow  mukbangasmr  mukbangvideo  ㅁㅓㄱㅂㅏㅇ  asmrcommunity  eatingshow  eatingsounds  eatingasmr  koreanfood  asianfood  chinesefood  asmrsounds  ㄸㅓㄱㅂㅗㄲㅇㅣ  asmreating  asmrfood  eatingsounds  koreanstreetfood  ramen  spicynoodles  koreannoodles  koreafood  ㅍㅏㅅㅡㅌㅏ  ㄹㅏㅁㅕㄴ  satisfying  oddlysatisfying  yummyfood  foodcravings,"#mukbangasmr, #mukbangers, #asmr, #asmrfood, #eatingasmr, #asmrvideo, #mukbang, #foodshow, #mukbangasmr, #mukbangvideo, #ㅁㅓㄱㅂㅏㅇ, #asmrcommunity, #eatingshow, #eatingsounds, #eatingasmr, #koreanfood, #asianfood, #chinesefood, #asmrsounds, #ㄸㅓㄱㅂㅗㄲㅇㅣ, #asmreating, #asmrfood, #eatingsounds, #koreanstreetfood, #ramen, #spicynoodles, #koreannoodles, #koreafood, #ㅍㅏㅅㅡㅌㅏ, #ㄹㅏㅁㅕㄴ, #satisfying, #oddlysatisfying, #yummyfood, #foodcravings",34,0,0.0,5,0.0042016806722689
파스타,thesoupie_seoul,  Notice    설날 연휴 매장 영업일    1월 21일  토  정상 영업  1월 22일 일  정상 영업  1월 23일  월  휴무  1월 24일  화  휴무 매장 방문시 참고 부탁드리겠습니다 Wednesday   Friday 10 00   22 00 Brunch 10 00   17 00Dinner 17 00   22 00 Last Order 21 30Saturday   Sunday 09 00   22 00Brunch 09 00   17 00Dinner 17 00   22 00Last Order 21 30 thesoupie_seoul  thesoupie  더수피,"#thesoupie_seoul, #thesoupie, #더수피",3,0,0.0,16,0.0134453781512605
파스타,60syummyfood,                                                                                                                                                                                                                                                                                                                                               mukbangasmr  mukbangers  asmr  asmrfood  eatingasmr  asmrvideo  mukbang  foodshow  mukbangasmr  mukbangvideo  ㅁㅓㄱㅂㅏㅇ  asmrcommunity  eatingshow  eatingsounds  eatingasmr  koreanfood  asianfood  chinesefood  asmrsounds  ㄸㅓㄱㅂㅗㄲㅇㅣ  asmreating  asmrfood  eatingsounds  koreanstreetfood  ramen  spicynoodles  koreannoodles  koreafood  ㅍㅏㅅㅡㅌㅏ  ㄹㅏㅁㅕㄴ  satisfying  oddlysatisfying  yummyfood  foodcravings,"#mukbangasmr, #mukbangers, #asmr, #asmrfood, #eatingasmr, #asmrvideo, #mukbang, #foodshow, #mukbangasmr, #mukbangvideo, #ㅁㅓㄱㅂㅏㅇ, #asmrcommunity, #eatingshow, #eatingsounds, #eatingasmr, #koreanfood, #asianfood, #chinesefood, #asmrsounds, #ㄸㅓㄱㅂㅗㄲㅇㅣ, #asmreating, #asmrfood, #eatingsounds, #koreanstreetfood, #ramen, #spicynoodles, #koreannoodles, #koreafood, #ㅍㅏㅅㅡㅌㅏ, #ㄹㅏㅁㅕㄴ, #satisfying, #oddlysatisfying, #yummyfood, #foodcravings",34,0,0.0,12,0.0100840336134453
파스타,imhome_wirye,바질오일파스타tmi 그릇을 왼쪽으로 돌리고 싶은 사진이지만   방토위치때문  난 아직 아마추어니까 괜찮다고 위로하자 아임홈 위례아임홈 위례카페 성남카페 카페투어 카페스타그램 브런치카페 파스타 사진 취미 아이패드,"#아임홈, #위례아임홈, #위례카페, #성남카페, #카페투어, #카페스타그램, #브런치카페, #파스타, #사진, #취미, #아이패드",11,1,9.09,17,0.0142857142857142
파스타,60sfoodsurreal,                                                                                                                                                                                                                                                                                                                                               mukbangasmr  mukbangers  asmr  asmrfood  eatingasmr  asmrvideo  mukbang  foodshow  mukbangasmr  mukbangvideo  ㅁㅓㄱㅂㅏㅇ  asmrcommunity  eatingshow  eatingsounds  eatingasmr  koreanfood  asianfood  chinesefood  asmrsounds  ㄸㅓㄱㅂㅗㄲㅇㅣ  asmreating  asmrfood  eatingsounds  koreanstreetfood  ramen  spicynoodles  koreannoodles  koreafood  ㅍㅏㅅㅡㅌㅏ  ㄹㅏㅁㅕㄴ  satisfying  oddlysatisfying  yummyfood  foodcravings,"#mukbangasmr, #mukbangers, #asmr, #asmrfood, #eatingasmr, #asmrvideo, #mukbang, #foodshow, #mukbangasmr, #mukbangvideo, #ㅁㅓㄱㅂㅏㅇ, #asmrcommunity, #eatingshow, #eatingsounds, #eatingasmr, #koreanfood, #asianfood, #chinesefood, #asmrsounds, #ㄸㅓㄱㅂㅗㄲㅇㅣ, #asmreating, #asmrfood, #eatingsounds, #koreanstreetfood, #ramen, #spicynoodles, #koreannoodles, #koreafood, #ㅍㅏㅅㅡㅌㅏ, #ㄹㅏㅁㅕㄴ, #satisfying, #oddlysatisfying, #yummyfood, #foodcravings",34,0,0.0,12,0.0100840336134453
파스타,corpastabar,강원도 산 두백 감자와 레지아노 치즈로 만든 뇨끼  매일 아침 정성껏 준비 중입니다  코르파스타바,#코르파스타바,1,1,100.0,23,0.0193277310924369
파스타,alisiakirkegaard6066671, 부산 광안리 광안대교 수영 민락 해운대 금련산 광안대교뷰 광안대교야경 광안리맛집 광안동 분위기 부산맛집 광안리맛집 뷰맛집 광안리뷰 광안대교 스테이크 파스타 샐러드 드론쇼 하이볼  맥주 와인 와인맛집 레스토랑 켄토스 kentos,"#부산, #광안리, #광안대교, #수영, #민락, #해운대, #금련산, #광안대교뷰, #광안대교야경, #광안리맛집, #광안동, #분위기, #부산맛집, #광안리맛집, #뷰맛집, #광안리뷰, #광안대교, #스테이크, #파스타, #샐러드, #드론쇼, #하이볼, #맥주, #와인, #와인맛집, #레스토랑, #켄토스, #kentos",28,6,21.43,2,0.0016806722689075
파스타,cocoann__,해장파스타  ,,0,0,0.0,17,0.0142857142857142
