Post_num,Followers
200,233
498,4395
1431,1252
285,918
38,25
16,60
1090,2116
629,510
63,503
166,175
406,1121
5620,335
155,386
68,85
140,1097
49,86
165,319
1927,2만
1466,276
3910,854
371,169
82,49
1140,5346
249,1213
2308,3851
2533,4376
11,56
167,1481
644,206
33,91
205,151
36,457
124,333
231,1213
126,1197
0,0
882,51
2574,6824
17,294
1208,789
498,189
291,1.6만
254,169
118,212
62,10
780,499
130,262
194,69
944,2176
7,12
2856,2.9만
243,534
15,3
1363,3877
176,506
3205,979
79,131
0,118
515,564
3,67
39,70
124,176
226,683
743,135
492,11
75,3517
480,214
1155,193
7201,2823
451,3791
52,255
771,352
43,164
934,90
397,209
14,171
2541,497
1854,299
70,2336
283,65
50,65
235,7513
706,237
223,8799
0,0
87,268
558,3004
900,135
998,2102
2250,622
125,1233
11,650
12,300
478,6861
244,45
574,173
7583,1177
2018,5681
312,96
1098,1919
