Post_num,Followers
2765,2138
1241,676
367,202
1708,543
202,277
119,206
17,32
522,2284
5296,6110
1000,1024
16,86
7904,8412
42,640
1340,132
3,0
1081,1207
1195,3001
95,1464
65,4
472,3004
17,20
5032,2448
1247,6496
502,391
317,1790
570,518
61,174
383,1165
591,7
55,5
532,207
201,203
1617,4306
37,462
130,99
8309,597
1661,5413
1167,88
3008,4906
41,3659
45,96
108,309
723,809
602,214
691,4548
212,93
556,641
43,64
33,14
25,299
24,46
805,322
24,55
580,2943
24,49
114,656
795,541
2161,750
14,681
50,204
3716,1026
301,743
441,854
7215,3207
152,23
2150,2089
12,299
43,86
205,86
78,14
413,1만
40,3504
1208,1.3만
166,293
1370,997
2692,450
2250,622
537,1만
623,847
240,658
92,2052
2032,527
1467,198
723,416
2179,2487
88,209
602,304
1978,237
621,10.5만
954,553
9,0
36,822
233,459
316,3649
31,11
5,1
5만,6663
1415,806
88,1284
61,41
