Category,Plus_Tags,Essential_Tags
돈까스,"['#돈까스', '#돈까스맛집', '#집밥', '#점심', '#치즈돈까스', '#food', '#우동', '#떡볶이', '#데일리', '#foodstagram']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
떡볶이,"['#떡볶이', '#떡볶이맛집', '#분식', '#순대', '#집밥', '#koreanfood', '#튀김', '#김밥', '#야식', '#mukbangasmr']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
스시,"['#스시', '#초밥', '#초밥맛집', '#사시미', '#서울맛집', '#일식', '#sushi', '#오마카세', '#회전초밥', '#초밥뷔페']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
치킨,"['#치킨', '#치킨맛집', '#술스타그램', '#치킨추천', '#맥주', '#야식', '#치킨스타그램', '#food', '#데일리', '#일상스타그램']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
파스타,"['#파스타', '#파스타맛집', '#스테이크', '#피자', '#샐러드', '#pasta', '#생면파스타', '#홍대맛집', '#연남동맛집', '#연남맛집']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
피자,"['#피자', '#밥상일기', '#같이먹자', '#어린이집졸업', '#파스타', '#유치원입학', '#휴식시간', '#instafood', '#데일리', '#스파게티']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
햄버거,"['#햄버거', '#수제버거', '#단체주문', '#잠실수제버거', '#단체도시락주문', '#감자튀김', '#food', '#맥도날드', '#점심', '#버거킹']","['#먹스타그램', '#맛집', '#일상', '#맛스타그램', '#소통', '#먹방', '#맞팔', '#좋아요', '#먹스타', '#먹팔']"
