Post_num,Followers
31,547
1469,621
2387,1.7만
169,203
598,144
275,520
2701,3.9만
784,128
550,591
2531,4379
2250,345
567,679
134,264
932,862
1888,6598
28,171
55,364
625,5081
59,946
150,47
737,386
2179,1304
874,429
29,524
64,10
26,43
917,1만
1.5만,99.1만
97,43
2581,782
5673,579
277,2340
326,344
55,144
1110,394
198,529
314,338
780,3303
7,8
843,3359
765,920
1189,9877
467,1591
1049,738
190,408
2만,2266
955,199
137,812
21,2
105,6
502,3605
899,119
91,324
384,567
9,4
10,2
22,46
308,785
2325,284
27,162
401,70
2379,8028
3856,1.5만
266,2794
13,210
261,2.4만
811,2911
88,946
903,89
3152,3847
142,1만
37,589
370,594
653,84
2529,10.5만
1537,558
134,163
12,115
24,2
242,200
1516,1427
12,55
6,10
431,1091
41,75
400,222
687,1246
412,434
341,999
1733,1688
1995,1.4만
73,315
147,22
429,812
144,20
25,110
430,1856
120,2915
16,11
