Post_num,Followers
57,142
359,62
790,4003
2237,1306
7271,2만
690,867
741,765
1206,9968
41,151
51,63
73,338
45,96
143,53
230,95
229,2476
97,195
752,120
2617,2162
11,4
24,23
368,445
979,164
15,259
444,1094
7,274
964,235
1689,1180
2157,649
1041,2284
140,4496
197,1484
20,38
15,352
410,350
186,54
50,203
26,364
0,0
355,74
1843,1.5만
99,81
879,831
80,231
904,1041
304,787
43,660
1567,147
22,69
178,272
566,1806
920,27
102,50
757,1127
2382,988
598,1535
102,687
106,1593
105,1054
112,921
3943,2.2만
102,1921
105,1382
1252,222
302,1.5만
740,720
104,2742
2572,5276
262,904
863,12.8만
603,3627
547,203
315,604
3,3
190,4.5만
1654,1409
68,25
1.9만,5261
104,539
832,1473
3401,9.4만
654,2849
1263,3350
14,52
2.1만,2972
1628,2.1만
115,368
1338,536
1099,774
765,2815
708,5.3만
109,429
196,141
228,2870
948,6964
1293,4406
1356,716
3457,3984
764,2607
855,2097
203,260
