Post_num,Followers
328,180
508,99
1134,6071
115,24
1183,1271
9448,6425
2228,404
55,585
117,5
1.7만,5962
3458,1419
74,2714
37,774
15,153
608,1490
4,0
18,63
743,816
7,56
101,346
14,466
119,19
854,480
5112,1589
56,67
3583,9509
2450,3795
965,351
1776,1695
302,1813
66,129
334,44
1214,232
650,36
1.1만,7025
167,436
106,126
1282,1209
8,307
50,119
97,141
40,1463
10,9
317,124
1,3
1,5
4383,3194
198,154
7985,390
260,6857
5353,1226
785,1976
291,4209
20,13
40,57
678,420
8,0
97,268
250,371
115,66
90,127
43,329
5744,8070
3,4
39,489
68,253
54,261
42,106
1314,1256
1,5498
138,74
484,1296
2748,434
20,56
12,17
204,48
1064,1.4만
87,258
2559,3997
93,238
161,396
160,136
1372,703
64,297
1868,307
48,438
63,610
200,59
535,261
12,130
1224,1494
406,411
337,1367
152,226
4,7
1484,4527
346,142
96,1268
173,1901
537,252
