Post_num,Followers
1902,847
1.9만,3.3만
54,88
366,6336
22,38
1767,1.3만
14,154
109,19
82,38
120,34
1141,609
283,365
67,361
2005,9830
121,23
656,310
5605,2687
60,261
274,829
254,719
75,66
43,9
173,58
116,2312
4397,2만
5,9
28,62
910,451
39,3
21,287
108,64
535,1091
178,2384
143,965
394,430
0,0
325,133
898,8076
1866,265
94,238
518,1667
17,134
5263,1003
197,4069
677,388
69,997
343,197
264,421
20,138
20,74
6,2
377,150
3833,5183
27,2.3만
1927,3459
446,206
312,98
0,0
19,93
53,753
279,459
25,3
21,54
256,1416
2198,1406
3775,724
608,21
3208,550
56,126
264,339
129,4
