Post_num,Followers
25,82
351,1773
311,1780
282,1871
249,1847
337,1921
256,1842
312,2155
232,1769
274,299
275,1770
258,1787
248,2145
271,2048
237,1790
289,1757
251,1458
276,3552
280,4230
279,3757
1454,592
246,1524
259,3509
62,140
49,4
2123,8785
4227,3.6만
2582,1012
1035,332
5111,3709
78,139
2,3
267,218
851,1194
674,1457
855,2887
8,7
109,124
1.4만,1293
89,5073
17,1012
394,2024
69,8
43,126
161,72
1195,394
233,5344
159,5
40,59
222,863
11,951
529,750
583,3684
15,60
11,1004
191,1.7만
76,352
91,537
1261,185
419,3481
2064,3430
511,2068
1540,9930
138,161
721,655
73,1338
247,806
147,189
1533,3654
161,529
14,44
656,689
525,1130
4,28
351,179
654,158
167,1918
72,5
731,59
2,1
84,1202
9,11
521,925
22,8
621,301
561,9286
790,542
4636,1026
181,689
897,865
42,39
4091,2494
1662,23.3만
206,98
82,68
459,502
2,5
54,15
73,172
20,30
