,ID,Contents,Tags,Likes,Scaled_Likes,Tag_count
1261,hwanguhyeon77,떡볶이 너무많이사버림 엄마랑먹어야지,"#떡볶이, #너무많이사버림, #엄마랑먹어야지",3.0,0.00035236081747709656,3
1262,kingbear.toppoki,곰사장의아침 혹은 점심 또는 저녁 중 한끼 입니다오늘은 카레와 순두부찌개를 만들었구요토마토 소스와 오뚜기 카레분말 조합으로 쬐금의 후레쉬함을 더 해봤슴니돠고리울 동굴시장에서 직접 두부를 만드시는 사장님이 계신데 순두부도 참 맛있더라구요오늘도 감사히 먹겠습니다지금 식사하시는 분들도 맛있게 드세요고강동 왕곰분식 떡볶이 곰사장한끼 토마토카레 순두부찌개 고리울동굴시장,"#고강동, #왕곰분식, #떡볶이, #곰사장한끼, #토마토카레, #순두부찌개, #고리울동굴시장",21.0,0.0024665257223396757,7
1263,park3_fish_cake,오늘 오신 고객님의 의견겉은 바삭 속은 촉촉 겉바속촉 붕어빵오늘도 저희 박쓰리오뎅을 찾아주신 고객님들 정말 감사합니다 보다 나은 음식의 질과 양으로 보답하겠습니다함양 맛집 지리산 박쓰리오뎅 성심병원옆 분식 부산오뎅 떡볶이 순대 깡통시장 그맛,"#바삭, #촉촉, #겉바속촉, #붕어빵오늘도, #함양, #맛집, #지리산, #박쓰리오뎅, #성심병원옆, #분식, #부산오뎅, #떡볶이, #순대, #깡통시장",9.0,0.0010570824524312897,14
1264,e_ji_225,은지 옆 은지 ,,70.0,0.00822175240779892,0
1265,oioi3ii,생선까스 떡볶이 도토리묵무침 콩나물국 풀무원푸드앤컬처 삼신,"#생선까스, #떡볶이, #도토리묵무침, #콩나물국, #풀무원푸드앤컬처, #삼신",24.0,0.0028188865398167725,6
1266,dasona1004,선화동의정부부대찌개대전맛집추천 대전맛집부대찌개맛집오늘은오늘뭐먹지떡국떡떡볶이나만의맵다잘먹겠습니다대충,"#선화동의정부부대찌개, #대전맛집추천, #대전맛집, #부대찌개맛집, #오늘은, #오늘뭐먹지, #떡국떡, #떡볶이, #나만의, #맵다, #잘먹겠습니다, #대충",2.0,0.0002349072116513977,12
1267,ago__camping__,얼마전에 다녀온 캠핑분식포차 컨셉 이런 컨셉이 처음이라 많이 미흡하지만재미있었어요파세코 난로 첫개시뭐가 잘 못 된건지 난로와 함께지만 많이 추웠어요 캠핑 캠퍼 신불산베이스캠프 부산캠퍼 부산캠핑 울주 울주캠핑 감성캠핑 갬성 갬성캠핑 1박2일 먹방 파세코난로28 분식 떡볶이 오뎅 김밥 튀김,"#캠핑, #분식포차, #컨셉, #파세코, #난로, #첫개시뭐가, #캠핑, #캠퍼, #신불산베이스캠프, #부산캠퍼, #부산캠핑, #울주, #울주캠핑, #감성캠핑, #갬성, #갬성캠핑, #1박2일, #먹방, #파세코난로28, #분식, #떡볶이, #오뎅, #김밥, #튀김",36.0,0.004228329809725159,24
1268,yoon_00075,직장인부산남자수영족발한신포차소주한잔냠냠포장마차해운대포장마차기장대게연화리기장카페웨이브온카페윤해운대포차씨앗호떡떡볶이야식배달의민족부산역초량불백부산대부산대맛집부산대카페동아대동아대맛집하단아트몰링,"#직장인, #부산남자, #수영, #족발, #한신포차, #소주한잔, #냠냠, #포장마차, #해운대포장마차, #기장, #대게, #연화리, #기장카페, #웨이브온, #카페윤, #해운대포차, #씨앗호떡, #떡볶이, #야식, #배달의민족, #부산역, #초량, #불백, #부산대, #부산대맛집, #부산대카페, #동아대, #동아대맛집, #하단, #아트몰링",2.0,0.0002349072116513977,30
1269,ganjiin,오늘 또 뭐 먹었지 김밥 집김밥 사골떡만두국 집밥 떡갈비 동그랑땡 콩나물무침 호박무침 양배추쌈 고추 콩나물국 해물부추전 쌀국수 호박두부된장찌개 대패삼겹살 파무침 분식 떡볶이 순대 어묵 사골국,"#김밥, #집김밥, #사골떡만두국, #집밥, #떡갈비, #동그랑땡, #콩나물무침, #호박무침, #양배추쌈, #고추, #콩나물국, #해물부추전, #쌀국수, #호박두부된장찌개, #대패삼겹살, #파무침, #분식, #떡볶이, #순대, #어묵, #사골국",31.0,0.0036410617805966647,21
1270,_mong__m,두끼 떡볶이 즉떡 냠냠,"#두끼, #떡볶이, #즉떡, #냠냠",5.0,0.0005872680291284943,4
1271,hyonzen,초등학교 1학년 다닐 때 학교 앞 떡볶이가 한 접시 100원이었는데 어느날 친구 어머니께서 300원어치를 주문해주셨다 바로 이게 어른의 씀씀이구나 감탄하며 친구와 행복하게 먹은 기억이 난다 당시 엄마가 매일매일 200원씩 용돈 주셨기에 내가 사먹으려면 충분히 먹을 수 있었는데 혼자 먹는 음식이 아니라고 생각해서 자주 못 먹었나 어쨌든 나의 떡볶이사랑은 그때부터 시작이었던 것 같다 오늘 점심도 떡볶이 먹었다는 얘기를 길게 써봤다 엥떡볶이,#떡볶이,23.0,0.002701432933991074,1
1272,yoona2420,노스페이스 남성 1992 눕시 30주년 기념 자켓 NJ1DN59노스페이스는 국내에서 워낙 인기있는브랜드라 말이 필요 없을 정도학창시절에 교복처럼 너도 나도 하나씩은다 갖고 있었을 그 패딩노스페이스 눕시 패딩의헤리티지가 느껴지는컬러 배색 존을 유지하면서 스트릿한그래픽 패턴과 애니멀 패턴 등으로다채롭게 풀어낸노스페이스 화이트라벨 컬렉션이다감각적인 그래픽 패턴이 시선을 사로잡는노스페이스 화이트라벨 컬렉션 노벨티 눕시 다운 자켓올 겨울을 힙하게 보낼 수 있는여자 다운 패딩으로 추천해본다상품 문의나 구매는 프로필 하단의 링크를 클릭 해주세요노스페이스눕시1996노스페이스눕시700노스페이스눕시패딩노스페이스눕시1992노스페이스눕시이 포스팅은 쿠팡 파트너스 활동의 일환으로 이에 따른 일정액의 수수료를 제공받습니다겨울데일리룩 전주네일샵 동성로핫플 헤어스타그램 강서구반영구 봉명동네일샵 죽동카페 부산카페 뷔스티에 패션스타그럄 동성로카페 패션피플 셀프돌상 케이크 아이폰12 네일맛집 당진네일 숏패딩 서면 떡볶이 성남맘,"#노스페이스눕시1996, #노스페이스눕시700, #노스페이스눕시패딩, #노스페이스눕시1992, #노스페이스눕시.이, #겨울, #데일리룩, #전주네일샵, #동성로핫플, #헤어스타그램, #강서구반영구, #봉명동네일샵, #죽동카페, #부산카페, #뷔스티에, #패션스타그럄, #동성로카페, #패션피플, #셀프돌상, #케이크, #아이폰12, #네일맛집, #당진네일, #숏패딩, #서면, #떡볶이, #성남맘",0.0,0.0,27
1273,matzoaa,여의도 오락떡볶이미원빌딩 B1F즉석떡볶이 맛집 속이 꽉찬 무침만두가 독특하다여의도여의도맛집즉석떡볶이즉석떡볶이맛집떡볶이떡볶이맛집여의도떡볶이,"#여의도, #여의도맛집, #즉석떡볶이, #즉석떡볶이맛집, #떡볶이, #떡볶이맛집, #여의도떡볶이",6.0,0.0007047216349541931,7
1274,todaylunch__,요즘 귀한 포장마차 떡볶이신성동 탄동농협 앞오늘뭐먹지 오늘점심뭐먹지 점심점심메뉴떡볶이어묵순대튀김포장마차떡볶이 대전맛집신성동맛집수요일,"#오늘뭐먹지, #오늘점심뭐먹지, #점심, #점심메뉴, #떡볶이, #어묵, #순대, #튀김, #포장마차떡볶이, #대전맛집, #신성동맛집, #수요일",10.0,0.0011745360582569885,12
1275,eric_hyungwook_choi,추억의 은마떡볶이만나분식 떡볶이 분식 은마상가 은마떡볶이 만나분식 30년단골 담에는 하연하령이랑 같이 가야지,"#떡볶이, #분식, #은마상가, #은마떡볶이, #만나분식, #30년단골",54.0,0.0063424947145877385,6
1276,bb_food.90,밥하기 싫은 날 혼점 강다짐 떡볶이 떡볶이러버,"#혼점, #강다짐, #떡볶이, #떡볶이러버",4.0,0.0004698144233027954,4
1277,sdsj5639,REPOST yupddukofficial with getrepostapp 엽떡 엽기떡볶이 동대문엽기떡볶이 yupdduk 이벤트 엽떡 세트메뉴 퀴즈 이벤트2023년 01월 02일월엽떡 세트메뉴가 변경되었어요다음 보기 중 엽떡 세트메뉴가 아닌 것은 무엇일까엽정답을 댓글에 남겨주세엽추첨을 통해 엽떡 할인 쿠폰을 선물로 드립니다상세내용참여방법 엽떡 계정yupddukofficial 팔로우 및 게시글 좋아요 필수 다음 중 리뉴얼된 엽떡 세트메뉴가 아닌 보기를 골라주세요 엽떡 세트메뉴 같이 먹고 싶은 친구를 태그하면 당첨 확률 UP이벤트 기간  2022년 01월 09월  01월 15일일 자정까지당첨자 발표  2022년 01월 18일수  개별 DM 발표당첨 인원  10명경품  엽기떡볶이 앱 전용 14000원 쿠폰 1매 이벤트 당첨자 발표 이후 아이디 변경 및 계정 삭제 등 정상적인 경품 발송이 어려운 경우 당첨이 취소될 수 있습니다정보 회신 기한 내 당첨자 정보를 전달주시지 않을 경우 당첨이 취소될 수 있습니다엽떡앱 세트메뉴 굿즈 증정 이벤트더 알차고 푸짐하게 돌아온 엽떡 세트메뉴 리뉴얼 기념 엽떡앱에서 굿즈 증정 이벤트를 진행하고 있어엽1월 15일일까지 많은 참여 부탁드립니다떡볶이 떡스타그램 떡볶이추천 매운떡볶이 떡볶이레시피 매운떡볶이추천 매운음식 떡볶이 인스타그램 인스타 이벤트 댓글이벤트 경품 쿠폰 댓글이벤트 댓글 경픔스타그램 할인쿠폰 댓글이벤트 세트메뉴 엽떡세트메뉴 엽떡세트 repostandroid repostw10,"#REPOST, #엽떡, #엽기떡볶이, #동대문엽기떡볶이, #yupdduk, #이벤트, #떡볶이, #떡스타그램, #떡볶이추천, #매운떡볶이, #떡볶이레시피, #매운떡볶이추천, #매운음식, #떡볶이, #인스타그램, #인스타, #이벤트, #댓글이벤트, #경품, #쿠폰, #댓글이벤트, #댓글, #경픔스타그램, #할인쿠폰, #댓글이벤트, #세트메뉴, #엽떡세트메뉴, #엽떡세트, #repostandroid, #repostw10",2.0,0.0002349072116513977,30
