id,title,author,summary,rating,genre,format,description,serialize,potenup,link
701004,뱀프 브라더스,mint****,뱀파이어와 인간사이,9.88,drama,스토리,"인간과 뱀파이어가 적대하는 세계, 종족불명 레비와 어린 뱀파이어 루이는 어느 날 인간세상으로 가게 된다. 인간세상은 말 그대로 인간들이 사는 곳인데 만날 때 마다 어째 다 뱀파이어 뿐. 심지어 그들은 레비와 루이를 위협하기 시작하는데...",False,False,https://comic.naver.com/bestChallenge/list?titleId=701004
395407,룽과크리스,tn****,자칭 중세배경의 의사와싸이코의 이야기.,9.87,drama,스토리,"중세인지옛유럽인지를 배경으로한 의사 룽과 싸이코 크리스의 노예플레이(!?)가 섞인 삼류,비급.작가멋대로인 만화! 볼사람만 봅시다.",False,False,https://comic.naver.com/bestChallenge/list?titleId=395407
669839,피플,0923****,액션 스릴러...,9.84,drama,스토리,바다 한 가운데서 펼쳐지는 선원들과 그들의 긴박한 이야기...,True,False,https://comic.naver.com/bestChallenge/list?titleId=669839
522268,MY 0호 팬 (마이영호팬),soqo****,아이돌 순정,9.86,drama,스토리,"내 친구가 아이돌이 되었다. 
아이돌이 된 그 아이와의 뻔한 로맨스?",False,False,https://comic.naver.com/bestChallenge/list?titleId=522268
698219,친해져요 금봉씨,ulta****,시골마을에 괴물이?,9.83,drama,스토리,시골마을에 괴물이?! <자유연재>,False,False,https://comic.naver.com/bestChallenge/list?titleId=698219
689048,요리GO,oeho****,.,9.82,drama,스토리,.,True,False,https://comic.naver.com/bestChallenge/list?titleId=689048
619071,바스티아 대륙이야기 -마왕의 대륙-,zozo****,리얼중세판타지,9.4,drama,스토리,'세상이 타락하면 마계로부터 마왕이 나타나 모든악을 평정하리라' 마왕을 물리치기위해 용사가 된 소년. 하지만 마왕이 사라진 시대. '나.. 왜 용사가 된거지.' 중세판타지 속 한 소년의 자아찾기.,False,False,https://comic.naver.com/bestChallenge/list?titleId=619071
673977,멋지다고 해줘!,ha2e****,남자시점 순정만화,9.43,drama,스토리,"처음보는 여학생한테 예쁘다는 소리를 들었다.
....저기, 난 남자고, 예쁘다는 말 보단 멋지단 말이 좋아.",False,False,https://comic.naver.com/bestChallenge/list?titleId=673977
702606,대디보이,ddon****,열혈 본격 학원 육아물,9.73,drama,스토리,이록고등학교 최고의 인기남 한강. 연예인으로 데뷔하고자 하는 그에게 일생일대의 사건이 벌어진다.,False,False,https://comic.naver.com/bestChallenge/list?titleId=702606
676992,나비리본,noma****,죽기 전의 스토리,9.77,drama,스토리,"자신의 죽음을 모르는 사망 예정자들과, 이들의 인도를 맡은 초보 저승사자 나비가 펼치는 드라마.",False,False,https://comic.naver.com/bestChallenge/list?titleId=676992
96940,그녀의 첫사랑,kiki****,"그녀, 첫사랑과 재회하다",9.49,drama,에피소드,"회사에 다니는 유혜린(여주인공)에게 첫사랑의 그남자(지혁)가 등장한다.
현재의 남자친구(신현)와 첫사랑과의 사이에서 고민하는 혜린
그녀는 과연 어떤 선택을 할것인가..",False,False,https://comic.naver.com/bestChallenge/list?titleId=96940
702464,남조선일기,nk-w****,"똑같으면서도 완전히 다른 한반도, 윗동네 친구들의 남조선 표류기",9.59,drama,옴니버스,"<고발>, <로동심문> 최성국작가의 신작웹툰 <남조선일기>!",False,False,https://comic.naver.com/bestChallenge/list?titleId=702464
694224,방백남녀,redc****,남녀의 우정,9.4,drama,스토리,매주 목요일 업뎃,True,False,https://comic.naver.com/bestChallenge/list?titleId=694224
681642,홍차 리브레,leep****,홍차영의 서툴지만 설레이는 하루,9.89,drama,에피소드,두둑한 통장도 든든한 내편도 없지만  ‘지금 시작해도 될까?’,True,False,https://comic.naver.com/bestChallenge/list?titleId=681642
501485,도깨비를 키우는 방법,dlwo****,도둑과 도깨비,9.83,drama,스토리,"도둑과 도깨비. 

자유 연재합니다.",False,False,https://comic.naver.com/bestChallenge/list?titleId=501485
696140,오늘 뭐 해먹지?,mu****,음식을 통해 인생을 들여다 보다.,9.85,drama,에피소드,30대 실직남 구직해군의 음식과 인생 이야기.,False,False,https://comic.naver.com/bestChallenge/list?titleId=696140
569599,난다고시원,dct0****,가로 1.5m x 세로 2.2m 1평도 안 되는 고시원방  그 안에서 벌어지는 좌충우돌 코믹감동 드라마!,8.95,drama,에피소드,"가로 1.5m x 세로 2.2m 1평도 안 되는 고시원 방
누군가에게는 유일한 전부인 쉼터
난다고시원.
그 안에서 벌어지는 좌충우돌 코믹감동액션 드라마",False,False,https://comic.naver.com/bestChallenge/list?titleId=569599
694217,지오코소 가난뱅이,tail****,음악성장만화.,9.89,drama,스토리,자칭 초천재 피아노과 배서진과 피아노는 못치지만 금수저 작곡과 진혜원의 음악 성장이야기.,False,False,https://comic.naver.com/bestChallenge/list?titleId=694217
690171,적막소녀,stam****,령을 보는 소녀,9.86,drama,스토리,저주에서 벗어나고 싶은 소녀 이야기..,False,False,https://comic.naver.com/bestChallenge/list?titleId=690171
693225,너를 들을 수 있는,dmlr****,조금 특별한 동거,9.82,drama,스토리,나무와 열매의 조금은 특별한 동거 이야기,False,False,https://comic.naver.com/bestChallenge/list?titleId=693225
697626,사냥꾼과 최형사,kill****,현대판 현상금사냥꾼,9.42,drama,스토리,현대판 현상금사냥꾼과 엘리트 형사의 대결 <매주 수요일 연재입니다>,False,False,https://comic.naver.com/bestChallenge/list?titleId=697626
91487,3분의1,lwg1****,엄마의 암투병과 바라보는 가족들의 속마음,9.85,drama,스토리,평범한 미대 4학년생인 완석. 갑작스레 알게 된 엄마의 위암 소식. 평범하지 않은 암환자의 투병과 바라보는 가족들의 속마음을 그렸다.,False,False,https://comic.naver.com/bestChallenge/list?titleId=91487
641305,"달콤쌉쌀,민트",supe****,첫사랑은 치약맛?,9.88,drama,스토리,주변 모든이에 사랑받는게 당연한 그녀. 받는것에만 익숙하던 그녀의 달콥 쌉쌀한 첫사랑 이야기. 첫사랑은 어쩌면..치약맛?,False,False,https://comic.naver.com/bestChallenge/list?titleId=641305
698543,"그대 곁으로,",best****,"+그대 곁으로,+",7.73,drama,스토리,바닷속 인류의 정체를 밝히려는 음모와 이를 지키려는 이야기!,False,False,https://comic.naver.com/bestChallenge/list?titleId=698543
686444,겨울에 웃는 꽃,kh****,연기 만화 (feat. 천재/먼치킨),9.86,drama,스토리,반에서 존재감 1도 없던 여고생이 친구들에 이끌려 오디션을 보며 시작 되는.. 진지한 연기 만화를 가장한 로맨스만화! 자유연재!,False,False,https://comic.naver.com/bestChallenge/list?titleId=686444
699792,내가 황제를 만났을때,tnql****,손발이 사라지는 마법,9.63,drama,스토리,뒤로 넘어져도 코가 깨지는 불운한 여주인공과 자신이 황제라고 굳게 믿고 있는 재벌2세의 로맨스코미디! (자유연재),False,False,https://comic.naver.com/bestChallenge/list?titleId=699792
690959,옥탑빵,boda****,미용실 2층 옥탑빵 이야기,9.9,drama,스토리,"한적한 동네 미용실 2층에 빵집을 차린 지영
옥탑빵 베이커리이야기, 지영과 지영의 주변 일상 이야기",False,False,https://comic.naver.com/bestChallenge/list?titleId=690959
